id,lat,lon
905,46.0,2.0
906,26.0,64.0
907,26.0,64.0
908,61.0,40.0
909,61.0,40.0
910,46.0,2.0
911,46.0,2.0
912,44.0,39.0
913,44.0,39.0
914,26.0,64.0
915,26.0,64.0
916,26.0,64.0
917,26.0,64.0
918,44.0,39.0
919,44.0,39.0
920,26.0,64.0
921,26.0,64.0
922,44.0,39.0
923,44.0,39.0
924,26.0,64.0
925,26.0,64.0
926,61.0,40.0
927,61.0,40.0
928,43.0,0.0
929,43.0,0.0
930,61.0,40.0
931,61.0,40.0
932,44.0,39.0
933,44.0,39.0
934,61.0,40.0
935,61.0,40.0
936,44.0,39.0
937,44.0,39.0
938,46.0,2.0
939,46.0,2.0
940,61.0,40.0
941,61.0,40.0
942,44.0,39.0
943,44.0,39.0
944,61.0,40.0
945,61.0,40.0
946,61.0,40.0
947,61.0,40.0
948,46.0,2.0
949,46.0,2.0
950,59.0,-3.0
951,59.0,-3.0
952,61.0,40.0
953,61.0,40.0
954,26.0,64.0
955,26.0,64.0
956,61.0,40.0
957,61.0,40.0
958,61.0,40.0
959,61.0,40.0
960,40.0,9.0
961,40.0,9.0
962,61.0,40.0
963,61.0,40.0
964,40.0,9.0
965,40.0,9.0
966,46.0,2.0
967,46.0,2.0
968,46.0,10.0
969,46.0,10.0
970,61.0,40.0
971,61.0,40.0
972,43.0,11.0
973,43.0,11.0
974,46.0,10.0
975,46.0,10.0
976,32.0,35.0
977,32.0,35.0
978,40.0,9.0
979,40.0,9.0
980,32.0,35.0
981,32.0,35.0
982,44.0,39.0
983,44.0,39.0
984,59.0,-3.0
985,59.0,-3.0
986,43.0,0.0
987,43.0,0.0
988,40.0,9.0
989,40.0,9.0
990,32.0,35.0
991,32.0,35.0
992,32.0,35.0
993,32.0,35.0
994,40.0,9.0
995,40.0,9.0
996,59.0,-3.0
997,59.0,-3.0
998,32.0,35.0
999,32.0,35.0
1000,43.0,11.0
1001,43.0,11.0
1002,59.0,-3.0
1003,59.0,-3.0
1004,44.0,39.0
1005,44.0,39.0
1006,43.0,0.0
1007,43.0,0.0
1008,46.0,2.0
1009,46.0,2.0
1010,40.0,9.0
1011,40.0,9.0
1012,32.0,35.0
1013,32.0,35.0
1014,32.0,35.0
