rate0 rate1 rate2 loglikelihood
0.07885655 0.05735459 0.16336101 -124518.78361500615
0.01860417 0.01727592 0.01373433 -122320.791736949
0.01065095 0.22490608 0.31128697 -123523.46247639737
0.05097624 0.03737115 0.01198922 -123268.71114103237
0.02090049 0.10842567 0.09806424 -122523.05437825859
0.0195552 0.13062158 0.04324167 -122481.35503300771
0.02973136 0.03847495 0.03421016 -122547.72592343805
0.02973307 0.10038476 0.19727773 -122813.18000546255
0.04317781 0.0919759 0.09000288 -123327.59976039937
0.02327496 0.10618758 0.00946063 -122341.88336962176
0.0172953 0.19470276 0.25225568 -122631.65728830996
0.02601997 0.11126283 0.14056557 -122658.54788804761
0.02605732 0.10461782 0.09619817 -122626.09125313304
0.02754891 0.10923265 0.03188101 -122563.80245823276
0.04447837 0.08286933 0.07699234 -123359.90979737716
0.02551898 0.0801439 0.01569038 -122395.64399757067
0.02146968 0.07668989 0.00823022 -122298.8332873616
0.02203272 0.17257315 0.2184608 -122606.78366343856
0.02483405 0.11481408 0.1227121 -122614.55256206177
0.03770469 0.02954852 0.01331782 -122673.64208046571
0.02063515 0.1397928 0.15570025 -122563.48756378556
0.02372966 0.17678816 0.00503567 -122371.03571345018
0.01721361 0.14600284 0.06450692 -122568.99701762701
0.04251059 0.09245233 0.08730279 -123295.97282936177
0.01159356 0.01415787 0.01593177 -123384.26698539477
0.01765628 0.2188929 0.29356634 -122629.80196172249
0.03810161 0.02744039 0.01342392 -122681.5630959198
0.01995486 0.10931699 0.13335065 -122540.24708272451
0.01417121 0.20501892 0.2704333 -122832.23424854521
0.0283685 0.06356399 0.03858072 -122565.91853768952
0.0196797 0.13522549 0.02934812 -122454.09179937537
0.04297687 0.09210768 0.08707059 -123315.67589156234
0.02283051 0.10854816 0.00934182 -122339.71078852213
0.01252371 0.01470613 0.01583866 -123113.4910003073
0.03589873 0.00145791 0.04658224 -122345.10483605866
0.03705006 0.09691836 0.06567137 -123027.03116936545
0.02134805 0.07248342 0.02138629 -122374.19372204843
0.02115751 0.0986615 0.12427361 -122534.47027741403
0.01674042 0.24576332 0.04337514 -122596.9589923173
0.02555988 0.09405196 0.01007141 -122368.56350437374
0.02075182 0.17540315 0.22543462 -122592.88537864435
0.01437658 0.12661859 0.01135909 -122724.17639777837
0.02093945 0.10757046 0.10025705 -122524.25138649791
0.04271912 0.12707285 0.08579581 -123324.74763741827
5.48908581e-02 6.60094468e-02 8.28956087e-05 -123197.68112065227
0.00531381 0.35269147 0.4077244 -128240.2315053961
0.0296517 0.05265047 0.02878013 -122552.40905798312
0.02117886 0.09785034 0.12645096 -122535.25868415367
0.01975119 0.13462022 0.02889421 -122451.77657708278
0.04845592 0.0875898 0.11085472 -123564.77610771645
0.02692324 0.09954862 0.00535897 -122354.60985873609
0.02814556 0.10420112 0.03039694 -122573.54155633248
0.00944215 0.30528209 0.35897756 -123997.75136884724
0.01804931 0.11045727 0.10378315 -122550.87702666297
0.02032025 0.12992741 0.02951756 -122445.88919935655
0.02520532 0.10660586 0.01874944 -122436.78334414656
0.04938764 0.04978646 0.00365497 -123095.89441980653
0.04695547 0.07737432 0.08707737 -123472.38954785913
0.02041879 0.12672546 0.04894321 -122482.72823392309
0.02275254 0.04394416 0.0133695 -122288.38457843907
0.01976547 0.24260281 0.34461003 -122615.19645974427
0.01896847 0.14107501 0.02803682 -122465.33899712532
0.03729598 0.09622896 0.06661234 -123039.04948504882
0.02073445 0.12572474 0.0033687 -122303.36621694743
0.0281401 0.02391088 0.01427532 -122311.98483916026
0.02834655 0.14043321 0.15146942 -122760.04100337575
0.04004956 0.01625931 0.01469254 -122711.15730444758
0.02056894 0.12071163 0.0588971 -122493.20547249587
0.04780521 0.07792937 0.1067409 -123527.48262290824
0.01980334 0.23812667 0.33638529 -122613.93284849201
0.02135951 0.09141603 0.15229027 -122544.56766523176
0.02329738 0.13547301 0.01304803 -122393.83503141685
0.04753012 0.05560793 0.00347106 -123032.61489634882
0.03765361 0.03480579 0.01740328 -122742.18806744296
0.02280575 0.01702867 0.01432076 -122213.7921381061
0.0483137 0.05405375 0.00068763 -122966.3658172007
0.02022047 0.18881437 0.24577567 -122596.18738933162
0.02133811 0.0566924 0.00300616 -122212.27389247509
