id	deme	orig_id
722	897	808
723	897	809
724	517	810
725	517	811
726	517	812
727	517	813
728	894	814
729	894	815
730	897	816
731	897	817
732	323	818
733	323	819
734	897	820
735	897	821
736	897	822
737	897	823
738	184	824
739	184	825
740	693	826
741	693	827
742	517	828
743	517	829
744	693	830
745	693	831
746	693	832
747	693	833
748	517	834
749	517	835
750	323	836
751	323	837
752	517	838
753	517	839
754	517	840
755	517	841
756	897	842
757	897	843
758	523	844
759	523	845
760	897	846
761	897	847
762	523	848
763	523	849
764	693	850
765	693	851
766	693	852
767	693	853
768	184	854
769	184	855
770	693	856
771	693	857
772	894	858
773	894	859
774	523	860
775	523	861
776	323	862
777	323	863
778	517	864
779	517	865
780	897	866
781	897	867
782	517	868
783	517	869
784	517	870
785	517	871
786	517	872
787	517	873
788	517	874
789	517	875
790	897	876
791	897	877
792	894	878
793	894	879
794	517	880
795	517	881
796	517	882
797	517	883
798	517	884
799	517	885
800	897	886
801	897	887
802	517	888
803	517	889
804	693	890
805	693	891
806	897	892
807	897	893
808	693	894
809	693	895
810	894	896
811	894	897
812	323	898
813	323	899
814	517	900
815	517	901
816	693	902
817	693	903
818	517	904
819	517	905
820	897	906
821	897	907
822	693	908
823	693	909
824	517	910
825	517	911
826	523	912
827	523	913
828	897	914
829	897	915
830	897	916
831	897	917
832	523	918
833	523	919
834	897	920
835	897	921
836	523	922
837	523	923
838	897	924
839	897	925
840	693	926
841	693	927
842	323	928
843	323	929
844	693	930
845	693	931
846	523	932
847	523	933
848	693	934
849	693	935
850	523	936
851	523	937
852	517	938
853	517	939
854	693	940
855	693	941
856	523	942
857	523	943
858	693	944
859	693	945
860	693	946
861	693	947
862	517	948
863	517	949
864	693	952
865	693	953
866	897	954
867	897	955
868	693	956
869	693	957
870	693	958
871	693	959
872	693	962
873	693	963
874	517	966
875	517	967
876	390	968
877	390	969
878	693	970
879	693	971
880	390	974
881	390	975
882	648	976
883	648	977
884	648	980
885	648	981
886	523	982
887	523	983
888	323	986
889	323	987
890	648	990
891	648	991
892	648	992
893	648	993
894	648	998
895	648	999
896	523	1004
897	523	1005
898	323	1006
899	323	1007
900	517	1008
901	517	1009
902	648	1012
903	648	1013
904	648	1014
905	648	1015
906	648	1016
907	648	1017
908	648	1018
909	648	1019
910	648	1020
911	648	1021
912	648	1024
913	648	1025
914	648	1026
915	648	1027
916	648	1030
917	648	1031
918	648	1032
919	648	1033
920	648	1036
921	648	1037
922	390	1040
923	390	1041
924	648	1042
925	648	1043
926	648	1044
927	648	1045
928	648	1050
929	648	1051
930	679	1052
931	679	1053
932	112	1054
933	112	1055
934	112	1056
935	112	1057
936	184	1058
937	184	1059
938	112	1060
939	112	1061
940	648	1064
941	648	1065
942	894	1066
943	894	1067
944	648	1068
945	648	1069
946	323	1070
947	323	1071
